user,Fecha,device_timestamp,like_count,comment_count
patagoniazen2023,2024-04-14,0,0
drmichaelgruene,2024-04-16,11,3
primerochile,2024-04-12,126,2
pasteleria_umami,2024-04-18,5,1
vivirenviaje_,2022-01-31,699,23
hotelangostura,2024-04-17,28,0
sebau84,2021-12-02,7676,82
busesdecima,2022-09-09,52,1
lachicaconlacamara_,2024-04-17,35,1
osornoturismo,2020-03-03,814,14
_5tadimension,2024-04-06,5765,178
leandroesquivell,2024-04-09,7,0
marcelo.nemirovsky,2024-04-18,19,0
anisa_amatullah.35,2024-04-11,8,0
capturandoneuquen,2023-07-07,6660,58
patty_exdance,2024-04-14,33,3
thiagoromao,2022-09-04,156,4
juan.rinaldi,2024-04-08,13,0
bahiamansa,2024-04-13,32,3
tec_niko,2024-04-09,0,0
tec_niko,2024-04-09,0,0
chicasdeviaje_,2022-01-03,8896,104
hosteriacohuel,2024-04-17,15,3
hosteriacohuel,2024-04-08,9,4
mauriii_lopezz,2022-12-04,62,2
rzl_arte,2022-12-02,2,0
blancaarmua_photo,2022-11-28,20,0
lugaresdemil,2022-11-23,57,2
lugaresdemil,2022-11-22,45,4
psicologaconstanzamartinez,2022-11-21,28,0
maru_torres_ragone,2022-11-20,3,4
marcelooperotti,2022-11-16,117,7
villa_la_angostura,2022-11-15,1789,86
facuguerci,2022-11-14,3,2
cristiantibuu,2022-11-14,68,15
marcelooperotti,2022-11-13,242,24
ana.lia.salto,2022-11-12,30,0
deejayajb,2022-11-11,84,8
paulaprz_7,2022-11-10,35,0
may.vacas,2022-11-07,12,0
reininaser,2022-11-05,110,16
conociendoargentinaok,2022-11-05,4,0
franco.faez,2022-11-05,16,2
florioalejandro,2022-11-03,41,4
maartufernandezz,2022-11-02,3,7
ssofisilva_,2022-11-01,36,2
karitocanela,2022-10-31,33,0
abridiazz_,2022-10-26,172,15
lucassistiaga,2022-10-25,15,0
fotografiads2,2022-10-25,46,0
rodrigofredesfotografia,2022-10-25,42,0
lole_echave,2022-10-24,47,1
jestoneatti,2022-10-24,125,4
andrea_moreira72,2022-10-24,6,0
rominaaltube,2022-10-23,5,0
ariel_beni,2022-10-23,3,0
ariel_beni,2022-10-23,2,0
ariel_beni,2022-10-23,3,0
argentinaaqui,2022-10-23,49,5
rodrigofredesfotografia,2022-10-22,19,0
juan.rinaldi,2022-10-22,34,0
mariano.c.otero,2022-10-20,87,4
villalaangosturaimagenes,2022-10-17,3,2
doncarlosvla,2022-10-17,51,3
bettytourn,2022-10-13,120,0
over50s_overland,2022-10-13,197,0
solfotografa_,2022-10-12,86,8
latanadel13,2022-10-11,20,6
latanadel13,2022-10-11,20,3
robinnmunoz,2022-10-10,31,0
piriz_bruno,2022-10-10,3,0
mariano.c.otero,2022-10-10,64,13
rominaaltube,2022-10-09,7,0
duckyy_y,2022-10-08,6,0
rominaaltube,2022-10-08,7,0
marciavassallo,2022-10-06,3,2
stevenportillo7,2022-10-05,30,4
natalia.paglia,2022-10-03,1040,123
fmdilorenzo,2022-10-03,17,2
mati.coroonel,2022-09-30,29,0
arthurcastell.ph,2022-09-29,81,2
aventuraenkayak.vla,2022-09-28,17,3
elaleph.cabana,2022-09-28,10,0
josuesanches,2022-09-27,36,0
rickyluxen,2022-09-25,169,2
francobianchini,2022-09-24,42,1
fotografiads2,2022-09-21,40,0
fotografiads2,2022-09-21,19,2
fotografiads2,2022-09-21,13,0
doncarlosvla,2022-09-20,35,0
colocuba,2022-09-19,10,0
leilacostaok,2022-09-19,101,13
vivamoslapatagonia,2022-09-17,563,8
dinabardic,2022-09-17,8,0
roxisena,2022-09-16,8,0
roxisena,2022-09-16,11,0
ignacioventricci,2022-09-16,31,0
domodebelen,2022-09-15,9,0
rumaandina,2022-09-14,82,6
_soledadcalvo,2022-09-14,3,9
colocuba,2022-09-13,14,3
cande.rodriguez25,2022-09-09,3,6
unpocoteresa,2022-09-09,50,0
mariliabarreiros_,2022-09-06,40,0
nature.semke,2022-09-05,49,0
liliangsantos,2022-09-05,86,10
camilunghi,2022-09-04,23,0
c.l.e_0908,2022-09-02,18,1
munoz.emy,2022-09-02,3,1
fotografiads2,2022-08-31,10,0
wilsonwilsonok,2022-08-31,21,2
pablo.lobos.796,2022-08-28,7,0
isabyfit,2022-08-28,17,0
isabyfit,2022-08-28,9,0
yanuguz,2022-08-25,9,0
cbpatagonialakes,2022-08-24,40,0
maria.jose.ramossss,2022-08-22,270,10
lesnoram,2022-08-21,35,0
yamifont,2022-08-19,4,0
cristianaguero.ph,2022-08-15,68,10
jrgonzat,2022-08-13,15,0
nuestrolugarenvla,2022-08-09,4,0
flaviaruffolo,2022-08-08,30,3
nilkaitati,2022-08-06,16,1
recorriendoargentina_,2022-08-05,86,2
labravarentacar,2022-08-05,12,1
matiassemanuel,2022-08-03,179,0
delfinanovaro,2022-08-02,10,0
delfinanovaro,2022-08-02,26,2
delfinanovaro,2022-08-02,20,0
daniiels94,2022-08-01,2,0
mevivas2,2022-07-29,7,0
cristianprz_,2022-07-29,36,0
tomas_fer,2022-07-28,3,2
bitacora1979,2022-07-28,25,1
leonardolealx,2022-07-27,37,3
vico_brea,2022-07-24,36,0
alanjsudol,2022-07-23,21,0
lili_aranda_,2022-07-21,11,0
laucha_22,2022-07-20,5,0
marielis75,2022-07-18,8,0
ana_della_paolera,2022-07-18,24,1
franretamozo,2022-07-14,110,4
sugusvla,2022-07-13,15,0
rocha_lara,2022-07-08,64,3
merchu.bongiovanni,2022-07-06,23,1
julio190864,2022-07-06,834,100
pablo.lobos.796,2022-06-27,7,0
aboitizrafael,2022-06-24,3,0
andreafraccaro77,2022-06-23,31,3
