user,Fecha,like_count,comment_count
russofaca,2024-04-06,109,16
sofitrinidadgonzalez,2024-03-24,51,2
lmp_world_journey,2024-03-20,7,0
pablocolman881,2024-03-18,2,0
thedyonisuseye,2024-02-21,7,0
sofitrinidadgonzalez,2024-02-19,117,17
catoortiz,2024-02-15,15,0
whosari_f,2024-02-12,48,6
oriramella,2024-02-12,3,2
buceovla,2024-02-09,47,0
ianmg_14,2024-01-29,3,0
carlos_fredy_mira,2024-01-27,9,0
kev_ok_95,2024-01-21,1,0
kev_ok_95,2024-01-21,2,0
florgiacchi,2024-01-19,544,18
rodri.difrancesca,2024-01-15,10,1
lauravheili,2024-01-12,3,2
gonzalobarreiro.gb,2024-01-04,9,0
gonzalobarreiro.gb,2024-01-04,15,0
libertangorock,2023-12-30,11,0
vasquezobreque,2023-12-30,4,0
vasquezobreque,2023-12-30,7,2
rolante_no_volante,2023-11-18,10,2
waltimas,2023-11-11,5,0
waltimas,2023-11-11,0,0
lmomberg,2023-11-10,107,0
tanafiore,2023-11-07,3,0
phaelateles,2023-10-23,17,1
arielgerussi,2023-10-17,10,1
carolinamanzaneli,2023-10-13,5,0
miriam.azua.5,2023-10-03,4,0
luli.lanfranchi,2023-10-02,3,2
jesusaguerrondo,2023-09-28,15,0
lucilafagioli,2023-09-25,11,4
sampaiosibely,2023-09-25,53,5
karina.advogadadefamilia,2023-09-13,85,0
pintame.a.mi,2023-09-08,3,1
leoceiro,2023-09-06,157,4
lauvaulet,2023-09-04,29,1
takemetothelakesph,2023-08-30,5,0
marionorbertovera,2023-08-29,1,0
luachariatti,2023-08-28,235,9
flor.umbides,2023-08-21,71,5
flor.umbides,2023-08-20,42,0
flor.umbides,2023-08-20,51,0
flor.umbides,2023-08-20,18,0
roselioliveiracorpomente,2023-08-17,10,0
pattt_f,2023-08-03,45,2
elgalgo.jm,2023-08-03,5,0
luis.aquino.712,2023-08-02,0,0
andremoreno.s,2023-07-30,18,0
luchy_alba_,2023-07-21,3,0
gabiscrc,2023-07-21,100,1
lulybunter,2023-07-19,3,2
freedompatagonia,2023-07-18,25,3
jorbira,2023-07-12,239,4
ianfilipiak,2023-07-12,80,2
rojas.facundo.arg,2023-07-11,27,0
raulin_in,2023-07-09,34,2
mauri_core,2023-06-22,22,1
recorreargentina40,2022-01-05,4280,34
naty_love_naty,2023-05-01,2,0
lugandolfo,2022-03-08,984,19
waltimas,2023-11-11,0,0
unarutaargentina,2021-02-07,3161,22
natdel18,2022-08-07,0,0
natdel18,2022-08-07,3,0
belenromang,2021-01-25,3744,14
dergarabedian,2021-05-02,5,0
camucorbetto,2022-01-16,823,16
ludmilacalderon,2021-12-29,601,22
camiyogui,2022-04-18,474,18
recorreargentina40,2020-03-25,1632,24
capturandoneuquen,2021-05-06,1685,17
luli.cadelago,2022-02-14,677,11
jeropourtau,2021-12-16,830,16
florlevis,2022-03-01,1159,9
cotyleon22,2021-02-01,1511,11
francescaaraggi,2021-04-19,1314,33
rocio.brizuela,2022-02-03,469,9
natalia.paglia,2021-06-15,849,76
cami_cota,2022-01-24,848,11
gkarenmt,2023-01-08,492,8
miliberko,2022-01-30,453,6
aventuraenkayak.vla,2024-01-22,5,0
paulahartmusic,2024-01-20,49,2
ianmg_14,2024-01-19,2,0
ianmg_14,2024-01-19,3,1
ponnix.iridiscente,2024-01-19,3,0
mickilino.el.perrito,2024-01-19,11,0
aventuraenkayak.vla,2024-01-17,9,0
talleramdeco,2024-01-17,66,8
aventuraenkayak.vla,2024-01-17,12,0
adriano_jes,2024-01-16,1,0
turinconbariloche,2024-01-16,3,7
facundonicolas1000,2024-01-15,3,1
aventuraenkayak.vla,2024-01-15,12,0
gaby_noe_c,2024-01-14,12,0
martina_garces10,2024-01-13,3,0
jazpesce,2024-01-12,390,3
yuaampy,2024-01-12,63,6
pichiblazquez,2024-01-12,1,0
sofipintoesto,2024-01-12,48,0
gubitta,2024-01-11,86,0
aventuraenkayak.vla,2024-01-10,15,0
claudishicp,2024-01-08,35,0
mare.alejandro,2024-01-07,386,6
emaaa.am,2024-01-07,143,31
iara.damm,2024-01-05,944,16
aventuraenkayak.vla,2024-01-02,18,1
aventuraenkayak.vla,2024-01-01,13,0
aventuraenkayak.vla,2023-12-30,6,0
breenamor,2023-12-30,23,1
peppa_de_viaje,2023-12-30,6,1
gubitta,2023-12-29,55,1
aventuraenkayak.vla,2023-12-28,19,0
pedicuradesinder,2023-12-25,14,2
jslpires,2023-12-22,44,1
mgelihernandez,2023-12-11,10,0
aventuraenkayak.vla,2023-12-07,8,0
aventuraenkayak.vla,2023-12-06,12,0
lidiahrm,2023-12-06,7,0
bosquedearrayanesvla,2023-11-29,17,8
agustiinamonzon,2023-11-27,29,0
estrellacanaviri,2023-11-20,2,0
mgelihernandez,2023-11-13,7,1
gissegutierrez_,2023-11-12,3,3
villalaangosturalovers,2023-11-12,78,0
villalaangosturalovers,2023-11-12,70,1
carileivaa,2023-11-11,2,0
ferchobenit,2023-11-09,3,3
villalaangosturalovers,2023-11-07,50,0
villalaangosturalovers,2023-11-07,76,0
aniascua,2023-10-31,6,1
viajestips,2023-10-27,8889,48
pablonahuelrotblat,2023-10-27,5,0
pablonahuelrotblat,2023-10-27,3,0
pablonahuelrotblat,2023-10-27,5,0
phaelateles,2023-10-26,31,2
marianrol,2023-10-25,3,0
magali_cuquejo,2023-10-24,3,2
delfinanovaro,2023-10-19,48,0
nicolas_origlia,2023-10-16,3,0
celes_m_fer,2023-10-14,23,1
aventuraenkayak.vla,2024-01-22,5,0
paulahartmusic,2024-01-20,49,2
ianmg_14,2024-01-19,2,0
ianmg_14,2024-01-19,3,1
ponnix.iridiscente,2024-01-19,3,0
mickilino.el.perrito,2024-01-19,11,0
aventuraenkayak.vla,2024-01-17,9,0
talleramdeco,2024-01-17,66,8
aventuraenkayak.vla,2024-01-17,12,0
adriano_jes,2024-01-16,1,0
turinconbariloche,2024-01-16,3,7
facundonicolas1000,2024-01-15,3,1
aventuraenkayak.vla,2024-01-15,12,0
gaby_noe_c,2024-01-14,12,0
martina_garces10,2024-01-13,3,0
jazpesce,2024-01-12,390,3
yuaampy,2024-01-12,63,6
pichiblazquez,2024-01-12,1,0
sofipintoesto,2024-01-12,48,0
gubitta,2024-01-11,86,0
aventuraenkayak.vla,2024-01-10,15,0
claudishicp,2024-01-08,35,0
mare.alejandro,2024-01-07,386,6
emaaa.am,2024-01-07,143,31
iara.damm,2024-01-05,944,16
aventuraenkayak.vla,2024-01-02,18,1
aventuraenkayak.vla,2024-01-01,13,0
aventuraenkayak.vla,2023-12-30,6,0
breenamor,2023-12-30,23,1
peppa_de_viaje,2023-12-30,6,1
gubitta,2023-12-29,55,1
aventuraenkayak.vla,2023-12-28,19,0
pedicuradesinder,2023-12-25,14,2
jslpires,2023-12-22,44,1
mgelihernandez,2023-12-11,10,0
aventuraenkayak.vla,2023-12-07,8,0
aventuraenkayak.vla,2023-12-06,12,0
lidiahrm,2023-12-06,7,0
bosquedearrayanesvla,2023-11-29,17,8
agustiinamonzon,2023-11-27,29,0
estrellacanaviri,2023-11-20,2,0
mgelihernandez,2023-11-13,7,1
gissegutierrez_,2023-11-12,3,3
villalaangosturalovers,2023-11-12,78,0
villalaangosturalovers,2023-11-12,70,1
carileivaa,2023-11-11,2,0
ferchobenit,2023-11-09,3,3
villalaangosturalovers,2023-11-07,50,0
villalaangosturalovers,2023-11-07,76,0
aniascua,2023-10-31,6,1
viajestips,2023-10-27,8889,48
pablonahuelrotblat,2023-10-27,5,0
pablonahuelrotblat,2023-10-27,3,0
pablonahuelrotblat,2023-10-27,5,0
phaelateles,2023-10-26,31,2
marianrol,2023-10-25,3,0
magali_cuquejo,2023-10-24,3,2
delfinanovaro,2023-10-19,48,0
nicolas_origlia,2023-10-16,3,0
celes_m_fer,2023-10-14,23,1
chino__2572,2023-04-12,9,2
villalaangosturalovers,2023-03-26,4,0
villalaangosturalovers,2023-03-26,4,0
nachoogonza,2023-03-22,43,1
eliseoreyes001,2023-03-22,4,0
_animaciel,2023-03-19,3,1
mateando1619,2023-03-18,10,0
michele.agustin,2023-03-18,145,0
angelap.montes,2023-03-18,7,0
ariquattrocchi,2023-03-13,205,3
fredycazorla,2023-03-13,19,1
juanorellanaart,2023-03-11,13,0
jose.mvp_,2023-03-10,38,4
_agustinacisneros,2023-03-08,200,25
vaniacristinamachado,2023-03-08,43,0
capturandoneuquen,2023-03-05,7029,35
cristian.coronel1,2023-03-04,72,1
turismoallente,2023-03-03,13,2
gonzalo.ilp,2023-03-02,22,0
fredycazorla,2023-03-01,13,0
fredycazorla,2023-03-01,4,0
ayu.ferrero,2023-02-28,3,2
ivan.s.lobo,2023-02-27,51,5
rorraaa_,2023-02-27,499,7
ivan.s.lobo,2023-02-27,32,4
fedeplomer,2023-02-27,287,3
sergiobarrazajimenez,2023-02-25,28,2
danikillah_,2023-02-24,180,1
rovellaspatafore.pinturas,2023-02-24,18,2
rociodeacon,2023-02-24,650,9
srta.angie,2023-02-23,20,1
leonehector,2023-02-21,18,7
sebas_mil9noventa2,2023-02-21,13,0
daniezzi,2023-02-20,73,3
rorraaa_,2023-02-18,212,6
teff.rodriguez,2023-02-17,3,5
macalairana,2023-02-17,3,1
meluumeitin,2023-02-17,25,0
aventuraenkayak.vla,2023-02-16,17,1
lauty.castell,2023-02-16,11,1
juli.cazorla,2023-02-14,157,1
emma_saracho_73,2023-02-14,26,0
bessoneines,2023-02-12,5,0
carolinaklun,2023-02-11,7,0
malii.cabj,2023-02-11,59,3
orimazzotta,2023-02-10,644,11
paulitamelo_,2023-02-10,30,1
biomind,2023-02-10,3,0
maartufernandezz,2023-02-09,283,12
walterandress,2023-02-08,10,0
diablitorocanrolero,2023-02-07,1,0
angi.cristaldo,2023-02-06,126,2
sofifacio_,2023-02-05,3,0
juanchi_g,2023-02-05,264,2
claudio_jonathan19_91,2023-02-05,5,0
cecimauu,2023-02-04,39,0
julietadegirolamo.fotografia,2023-02-04,11,0
ale.martinezz16,2023-02-02,4,0
juanfran.martinez86,2023-02-01,2,0
juanfran.martinez86,2023-02-01,4,0
teff.rodriguez,2023-01-31,3,8
astriddipaulocorral,2023-01-31,519,7
descubrescom,2023-01-30,39,2
